source,retrieved_at,ranking_scope,ranking_year,ranking,name,university_code,university_slug,country,country_code,country_ranking,score,indicator_alumni,indicator_award,indicator_hici,indicator_n_s,indicator_pub,indicator_pcp
arwu,2026-07-19T13:10:45+00:00,overall,2005,1,Harvard University,,harvard-university,United States,US,1,100.0,100.0,100.0,100.0,100.0,100.0,72.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,2,University of Cambridge,,university-of-cambridge,United Kingdom,GB,1,73.6,99.8,93.4,53.3,56.6,70.9,66.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,3,Stanford University,,stanford-university,United States,US,2,73.4,41.1,72.2,88.5,70.9,72.3,65.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,4,"University of California, Berkeley",,university-of-california-berkeley,United States,US,3,72.8,71.8,76.0,69.4,73.9,72.2,52.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,5,Massachusetts Institute of Technology (MIT),,massachusetts-institute-of-technology-mit,United States,US,4,70.1,74.0,80.6,66.7,65.8,64.3,53.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,6,California Institute of Technology,,california-institute-of-technology,United States,US,5,67.1,59.2,68.6,59.8,65.8,52.5,100.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,7,Columbia University,,columbia-university,United States,US,6,62.3,79.4,60.6,56.1,54.2,69.5,45.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,8,Princeton University,,princeton-university,United States,US,7,60.9,63.4,76.8,60.9,48.7,48.5,59.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,9,University of Chicago,,university-of-chicago,United States,US,8,60.1,75.6,81.9,50.3,44.7,56.4,42.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,10,University of Oxford,,university-of-oxford,United Kingdom,GB,2,59.7,64.3,59.1,48.4,55.6,68.4,53.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,11,Yale University,,yale-university,United States,US,9,56.9,52.1,44.5,60.3,57.2,63.9,49.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,12,Cornell University,,cornell-university,United States,US,10,54.6,46.5,52.4,55.0,48.8,66.3,39.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,13,"University of California, San Diego",,university-of-california-san-diego,United States,US,11,51.0,17.7,34.7,59.8,56.5,64.5,46.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,14,"University of California, Los Angeles",,university-of-california-los-angeles,United States,US,12,50.6,27.3,32.8,56.7,50.1,75.6,34.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,15,University of Pennsylvania,,university-of-pennsylvania,United States,US,13,50.2,35.5,35.1,56.7,42.9,71.8,39.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,16,University of Wisconsin - Madison,,university-of-wisconsin-madison,United States,US,14,49.2,43.0,36.3,52.1,46.3,68.7,29.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,17,University of Washington,,university-of-washington,United States,US,15,48.4,28.8,32.4,53.9,47.1,73.8,27.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,18,"University of California, San Francisco",,university-of-california-san-francisco,United States,US,16,47.8,0.0,37.6,55.6,57.9,58.8,45.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,19,The Johns Hopkins University,,johns-hopkins-university,United States,US,17,46.9,51.4,28.3,41.6,52.2,67.7,24.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,20,The University of Tokyo,,the-university-of-tokyo,Japan,JP,1,46.7,36.0,14.4,38.5,52.1,86.5,34.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,21,University of Michigan - Ann Arbor,,university-of-michigan-ann-arbor,United States,US,18,44.9,43.0,0.0,61.9,43.0,76.5,30.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,22,Kyoto University,,kyoto-university,Japan,JP,2,43.8,39.7,34.1,34.2,37.0,72.3,31.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,23,The Imperial College of Science,,imperial-college-london,United Kingdom,GB,3,43.7,20.8,38.1,40.8,38.2,64.6,40.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,24,University of Toronto,,university-of-toronto,Canada,CA,1,43.1,28.1,19.7,39.3,38.9,76.7,41.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,25,University of Illinois at Urbana-Champaign,,university-of-illinois-at-urbana-champaign,United States,US,19,42.8,41.6,37.4,44.4,34.1,58.0,26.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,26,University College London,,university-college-london,United Kingdom,GB,4,42.6,30.7,32.9,37.7,41.5,60.5,38.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,27,Swiss Federal Institute of Technology Zurich,,eth-zurich,Switzerland,CH,1,41.7,40.2,37.0,35.1,41.1,43.4,52.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,28,Washington University in St. Louis,,washington-university-in-st-louis,United States,US,20,40.7,25.1,26.6,38.5,46.5,53.9,39.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,29,New York University,,new-york-university,United States,US,21,38.8,33.8,25.0,43.0,35.3,55.4,26.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,30,Rockefeller University,,rockefeller-university,United States,US,22,38.2,22.6,59.8,28.3,44.1,24.0,35.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,31,Northwestern University,,northwestern-university,United States,US,23,37.9,21.7,19.3,44.4,33.8,57.6,36.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,32,Duke University,,duke-university,United States,US,24-25,37.7,20.8,0.0,47.1,45.3,60.8,38.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,32,University of Minnesota,,university-of-minnesota-twin-cities,United States,US,24-25,37.7,36.0,0.0,49.7,35.2,68.4,23.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,34,"University of California, Santa Barbara",,university-of-california-santa-barbara,United States,US,26,36.9,0.0,36.0,42.3,39.0,44.1,35.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,35,University of Colorado at Boulder,,university-of-colorado-at-boulder,United States,US,27,36.3,16.6,29.8,40.8,36.6,46.3,29.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,36,The University of Texas at Austin,,the-university-of-texas-at-austin,United States,US,28,35.5,21.7,17.1,49.1,30.0,54.8,21.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,37,University of British Columbia,,university-of-british-columbia,Canada,CA,2,35.4,20.8,19.3,32.4,32.5,60.4,33.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,38,The University of Texas Southwestern Medical Center at Dallas,,the-university-of-texas-southwestern-medical-center-at-dallas,United States,US,29,34.8,24.3,33.9,31.4,38.2,37.9,31.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,39,Pennsylvania State University - University Park,,pennsylvania-state-university-university-park,United States,US,30-31,33.4,14.0,0.0,45.8,37.9,59.9,24.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,39,Vanderbilt University,,vanderbilt-university,United States,US,30-31,33.4,12.5,30.2,34.2,24.5,49.2,35.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,41,"University of California, Davis",,university-of-california-davis,United States,US,32,32.9,0.0,0.0,46.5,34.5,64.0,29.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,41,Utrecht University,,utrecht-university,Netherlands,NL,1,32.9,30.7,21.4,27.2,27.3,55.7,25.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,43,Rutgers,,rutgers-the-state-university-of-new-jersey-new-brunswick,United States,US,33-34,32.3,15.4,20.4,36.9,32.9,47.1,24.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,43,University of Pittsburgh,,university-of-pittsburgh,United States,US,33-34,32.3,25.1,0.0,40.1,25.9,64.3,28.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,45,Karolinska Institute,,karolinska-institute,Sweden,SE,1,32.1,30.7,27.8,33.3,19.7,47.3,25.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,46,Pierre and Marie Curie University - Paris 6,,pierre-and-marie-curie-university-paris-6,France,FR,1,32.0,35.7,23.9,23.6,24.2,51.2,30.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,47,The University of Edinburgh,,the-university-of-edinburgh,United Kingdom,GB,5,31.8,22.6,17.1,26.1,35.8,49.4,29.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,47,"University of California, Irvine",,university-of-california-irvine,United States,US,35-36,31.8,0.0,30.0,32.4,28.5,48.2,31.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,47,"University of Maryland, College Park",,university-of-maryland-college-park,United States,US,35-36,31.8,25.9,0.0,40.8,33.6,54.6,25.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,50,University of Southern California,,university-of-southern-california,United States,US,37,31.7,0.0,27.3,37.7,23.6,52.8,25.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,51,University of Munich,,university-of-munich,Germany,DE,1,31.4,37.1,21.1,15.7,30.4,51.9,30.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,52,Technical University Munich,,technical-university-of-munich,Germany,DE,2,31.3,43.0,24.1,24.8,20.7,46.5,29.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,53,The University of Manchester,,the-university-of-manchester,United Kingdom,GB,6,31.2,27.3,19.3,23.6,22.6,57.3,30.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,54,Carnegie Mellon University,,carnegie-mellon-university,United States,US,38,30.8,30.7,33.5,32.4,14.7,38.3,31.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,55,University of North Carolina at Chapel Hill,,university-of-north-carolina-at-chapel-hill,United States,US,39,30.3,12.5,0.0,35.1,32.8,59.5,27.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,56,The Australian National University,,the-australian-national-university,Australia,AU,1,30.2,17.7,12.9,36.9,29.0,45.1,27.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,57,University of Copenhagen,,university-of-copenhagen,Denmark,DK,1,30.0,30.7,24.7,23.6,22.8,45.7,27.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,57,University of Florida,,university-of-florida,United States,US,40,30.0,15.4,0.0,35.1,25.0,65.2,25.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,57,University of Zurich,,university-of-zurich,Switzerland,CH,2,30.0,12.5,27.3,19.2,30.3,47.2,30.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,60,Uppsala University,,uppsala-university,Sweden,SE,2,29.9,25.9,32.9,11.1,28.7,49.1,21.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,61,University of Paris Sud (Paris 11),,university-of-paris-sud-paris-11,France,FR,2,29.4,33.2,34.2,13.6,19.6,44.9,27.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,62,Osaka University,,osaka-university,Japan,JP,3,29.3,12.5,0.0,23.6,31.1,66.8,29.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,63,The Ohio State University - Columbus,,the-ohio-state-university-columbus,United States,US,41,29.2,17.7,0.0,40.8,21.5,61.2,19.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,64,University of Bristol,,university-of-bristol,United Kingdom,GB,7,28.8,10.9,18.2,30.4,24.5,47.5,27.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,65,The University of Sheffield,,the-university-of-sheffield,United Kingdom,GB,8,28.6,23.5,14.4,23.6,29.2,46.6,27.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,65,University of Rochester,,university-of-rochester,United States,US,42,28.6,33.2,9.1,27.2,25.3,43.0,36.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,67,McGill University,,mcgill-university,Canada,CA,3,28.4,28.8,0.0,28.3,23.6,56.8,30.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,67,Moscow State University,,moscow-state-university,Russia,RU,1,28.4,51.4,34.9,0.0,7.5,54.0,31.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,69,Case Western Reserve University,,case-western-reserve-university,United States,US,43,28.3,40.7,11.8,20.8,23.0,44.8,33.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,69,University of Oslo,,university-of-oslo,Norway,NO,1,28.3,25.9,34.1,17.6,18.2,41.5,26.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,71,University of Heidelberg,,heidelberg-university,Germany,DE,3,28.0,10.9,27.7,20.8,20.9,48.1,26.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,72,Leiden University,,leiden-university,Netherlands,NL,2,27.9,25.1,15.8,27.2,19.3,46.7,28.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,73,Tohoku University,,tohoku-university,Japan,JP,4,27.8,18.8,0.0,19.2,26.9,65.3,29.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,73,University of Arizona,,university-of-arizona,United States,US,44,27.8,0.0,0.0,29.4,36.8,55.8,25.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,75,Purdue University - West Lafayette,,purdue-university-west-lafayette,United States,US,45,27.7,18.8,17.1,27.2,21.4,49.8,19.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,76,University of Helsinki,,university-of-helsinki,Finland,FI,1,27.4,18.8,18.2,15.7,21.4,54.5,27.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,77,Michigan State University,,michigan-state-university,United States,US,46,26.9,12.5,0.0,37.7,26.6,51.0,18.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,78,Rice University,,rice-university,United States,US,47,26.2,21.7,22.3,23.6,24.4,30.8,31.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,78,The Hebrew University of Jerusalem,,the-hebrew-university-of-jerusalem,Israel,IL,1,26.2,33.2,0.0,23.6,27.1,46.6,26.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,80,Boston University,,boston-university,United States,US,48,26.1,15.4,0.0,31.4,28.1,50.8,17.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,80,King's College London,,kings-college-london,United Kingdom,GB,9,26.1,16.6,23.5,20.8,17.4,44.6,24.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,82,University of Melbourne,,the-university-of-melbourne,Australia,AU,2,26.0,15.4,14.4,22.2,18.7,53.5,19.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,83,University of Nottingham,,university-of-nottingham,United Kingdom,GB,10,25.9,15.4,20.4,20.8,19.0,45.6,24.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,84,University of Goettingen,,university-of-goettingen,Germany,DE,4,25.8,38.7,20.4,15.7,17.5,40.2,24.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,85,University of Vienna,,university-of-vienna,Austria,AT,1,25.6,25.1,15.8,7.9,22.7,52.2,26.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,86,Brown University,,brown-university,United States,US,49,25.4,0.0,13.9,29.4,25.5,40.7,27.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,87,Indiana University Bloomington,,indiana-university-bloomington,United States,US,50,25.2,14.0,18.2,24.8,21.2,42.0,18.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,87,University of Basel,,university-of-basel,Switzerland,CH,3,25.2,25.9,17.5,19.2,21.4,34.5,33.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,89,Texas A&M University - College Station,,texas-a-m-university,United States,US,51,25.1,0.0,0.0,32.4,24.4,55.0,20.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,90,McMaster University,,mcmaster-university,Canada,CA,4,24.9,16.6,19.3,22.2,15.9,43.5,23.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,90,University of Freiburg,,university-of-freiburg,Germany,DE,5,24.9,25.1,21.4,17.6,18.2,39.5,23.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,92,University of Strasbourg,,university-of-strasbourg,France,FR,3,24.7,29.4,22.9,19.2,19.5,32.7,22.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,93,Ecole Normale Superieure - Paris,,ecole-normale-superieure-paris,France,FR,4,24.6,47.8,25.0,13.6,18.1,27.2,23.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,93,Stockholm University,,stockholm-university,Sweden,SE,3,24.6,29.4,30.2,15.7,14.3,35.3,18.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,93,Tokyo Institute of Technology,,tokyo-institute-of-technology,Japan,JP,5,24.6,16.6,0.0,22.2,22.5,50.6,31.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,93,University of Utah,,university-of-utah,United States,US,52,24.6,0.0,0.0,30.4,31.4,45.5,24.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,97,University of Roma - La Sapienza,,sapienza-university-of-rome,Italy,IT,1,24.5,16.6,15.8,11.1,21.8,54.6,15.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,98,University of Birmingham,,university-of-birmingham,United Kingdom,GB,11,24.4,25.1,11.2,22.2,13.4,47.0,24.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,99,Lund University,,lund-university,Sweden,SE,4,24.3,29.4,0.0,24.8,19.4,50.1,18.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,100,Tufts University,,tufts-university,United States,US,53,23.9,18.8,17.1,20.8,19.1,37.4,25.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Aarhus University,,aarhus-university,Denmark,DK,2,,15.4,19.3,7.9,22.3,41.6,22.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Arizona State University - Tempe,,arizona-state-university,United States,US,54-71,,0.0,14.4,20.8,26.3,41.9,17.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Baylor College of Medicine,,baylor-college-of-medicine,United States,US,54-71,,0.0,0.0,17.6,34.5,44.0,24.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Catholic University of Leuven,,ku-leuven,Belgium,BE,1-4,,0.0,0.0,19.2,16.0,48.7,23.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Catholic University of Louvain,,catholic-university-of-louvain,Belgium,BE,1-4,,14.0,13.9,13.6,8.3,44.7,26.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,College of France,,college-of-france,France,FR,5,,15.4,37.4,11.1,11.7,16.9,19.3
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Dartmouth College,,dartmouth-college,United States,US,54-71,,24.3,0.0,20.8,22.0,33.0,29.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Emory University,,emory-university,United States,US,54-71,,0.0,0.0,28.3,19.0,48.4,21.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Georgia Institute of Technology,,georgia-institute-of-technology,United States,US,54-71,,16.6,0.0,23.6,19.0,43.9,25.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Ghent University,,ghent-university,Belgium,BE,1-4,,8.9,15.8,15.7,9.1,48.8,27.2
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Hokkaido University,,hokkaido-university,Japan,JP,6-9,,0.0,0.0,15.7,14.1,53.8,21.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Kyushu University,,kyushu-university,Japan,JP,6-9,,0.0,0.0,13.6,21.3,52.8,21.6
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Mayo Medical School,,mayo-clinic-alix-school-of-medicine,United States,US,54-71,,0.0,0.0,27.2,6.2,50.2,24.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Nagoya University,,nagoya-university,Japan,JP,6-9,,0.0,14.4,15.7,20.5,52.3,25.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,National University of Singapore,,national-university-of-singapore,Singapore,SG,1,,0.0,0.0,15.7,13.8,56.7,25.7
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,North Carolina State University - Raleigh,,north-carolina-state-university-raleigh,United States,US,54-71,,0.0,0.0,29.4,17.8,44.3,19.0
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Oregon State University,,oregon-state-university,United States,US,54-71,,15.4,0.0,24.8,25.7,36.6,27.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Seoul National University,,seoul-national-university,South Korea,KR,1,,0.0,0.0,7.9,14.6,61.2,26.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,State University of New York at Stony Brook,,stony-brook-university,United States,US,54-71,,0.0,0.0,17.6,31.4,40.7,20.5
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Technion-Israel Institute of Technology,,technion-israel-institute-of-technology,Israel,IL,2-4,,18.8,23.5,13.6,14.1,42.1,22.8
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,Tel Aviv University,,tel-aviv-university,Israel,IL,2-4,,0.0,0.0,24.8,20.1,54.7,26.9
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,The University of Georgia,,the-university-of-georgia,United States,US,54-71,,0.0,0.0,28.3,21.1,46.4,18.4
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,The University of Glasgow,,the-university-of-glasgow,United Kingdom,GB,12-15,,10.9,0.0,19.2,17.1,44.4,22.1
arwu,2026-07-19T13:10:45+00:00,overall,2005,101-152,The University of Queensland,,the-university-of-queensland,Australia,AU,3-4,,16.6,0.0,7.9,19.9,50.1,18.9
